-55,-113,103
-57,-113,104
-59,-113,105
-61,-115,107
-63,-114,107
-66,-116,109
-67,-116,110
-70,-116,111
-72,-116,112
-75,-118,115
-77,-119,116
-79,-118,117
-81,-118,117
-83,-118,119
-86,-119,121
-88,-119,122
-91,-120,124
-93,-119,124
-96,-120,126
-100,-121,129
-103,-122,131
-106,-123,133
-108,-122,134
-111,-123,136
-115,-124,139
-118,-124,140
-122,-125,143
-126,-126,146
-130,-130,147
-128,-131,147
-127,-133,147
-124,-133,146
-122,-134,145
-118,-134,143
-114,-132,140
-110,-131,137
-107,-130,135
-104,-130,133
-101,-129,131
-98,-129,129
-95,-128,127
-92,-127,126
-89,-126,124
-86,-126,122
-83,-125,120
-81,-124,119
-78,-123,117
-76,-123,116
-74,-123,115
-72,-123,114
-69,-122,112
-66,-120,110
-64,-120,109
-63,-121,109
-60,-120,107
-58,-119,106
-56,-118,104
-54,-117,103
-52,-118,103
-50,-117,102
-48,-117,101
-47,-117,101
-45,-117,100
-43,-116,99
-41,-115,98
-39,-114,97
-37,-113,95
-36,-112,94
-34,-113,94
-33,-112,94
-31,-112,93
-29,-112,92
-28,-112,92
-26,-111,91
-25,-110,91
-23,-110,90
-22,-110,89
-20,-110,89
-19,-109,89
-17,-109,88
-16,-109,88
-15,-109,88
-13,-108,87
-12,-109,87
-11,-108,87
-9,-109,87
-8,-108,87
-7,-107,86
-5,-107,86
-4,-107,86
-3,-106,85
-1,-105,84
0,-105,84
0,-104,79
-1,-104,79
-3,-104,79
-4,-104,79
-5,-105,80
-6,-105,80
-8,-105,80
-9,-105,81
-10,-105,81
-12,-105,81
-13,-106,81
-14,-106,82
-16,-106,82
-17,-107,82
-19,-107,82
-20,-107,83
-21,-108,84
-23,-108,84
-24,-109,85
-26,-108,85
-27,-108,85
-28,-107,84
-30,-108,85
-31,-108,85
-33,-109,87
-35,-109,87
-36,-110,88
-38,-109,88
-39,-109,88
-41,-110,90
-43,-111,90
-44,-111,91
-46,-111,91
-48,-111,92
-49,-111,93
-51,-112,94
-53,-113,95
-56,-114,97
-58,-114,97
-59,-114,98
-61,-114,99
-63,-114,99
-65,-114,100
-67,-116,102
-70,-116,103
-72,-117,104
-74,-116,105
-76,-117,106
-79,-118,108
-81,-119,110
-84,-120,111
-86,-119,111
-89,-120,113
-91,-120,114
-93,-119,115
-96,-120,117
-99,-121,119
-102,-121,120
-105,-122,122
-109,-123,125
-112,-123,127
-114,-123,128
-118,-124,130
-122,-125,133
-123,-123,133
-67,-67,70
-63,-64,67
-60,-63,65
-72,-77,78
-76,-83,83
-115,-130,129
-113,-131,129
-110,-131,127
-107,-130,125
-104,-130,123
-100,-129,121
-97,-127,119
-94,-127,117
-91,-126,116
-89,-126,114
-86,-125,113
-83,-125,111
-81,-124,110
-78,-124,108
-76,-124,108
-73,-122,105
-70,-121,104
-68,-121,103
-67,-121,102
-64,-120,101
-62,-119,99
-60,-118,98
-57,-118,97
-56,-118,97
-54,-118,97
-52,-117,95
-50,-117,95
-48,-117,94
-46,-116,92
-44,-115,91
-43,-114,91
-41,-114,90
-39,-114,89
-37,-113,88
-36,-113,88
-34,-112,87
-32,-112,86
-31,-111,86
